price,bed,bath,acre_lot,zip_code,house_size
175000,3,1,60.0,12022,1176
425000,3,2,2.02,12521,1600
225000,4,2,0.24,12521,1239
419000,3,3,1.9,12516,1800
365000,3,2,2.0,12517,1482
299999,4,1,4.2,12516,1500
374900,3,2,2.9,12529,1404
375000,3,2,1.2,12546,1350
365000,5,4,2.0,12517,1482
949000,5,4,100.88,12017,7500
489900,3,2,10.0,12017,1152
194900,4,3,1.29,12123,2274
40000,2,1,0.2,12123,690
125000,3,2,1.0,12090,980
435000,3,2,5.01,12060,2504
429900,4,3,2.15,12184,2248
299900,3,1,0.32,12130,1608
649000,4,4,12.8,12106,1980
379500,4,3,0.28,12565,2080
299900,3,1,0.32,12106,1608
61900,3,2,0.2,12090,1344
759000,3,1,73.0,12513,1800
759000,3,1,73.04,12513,1800
123000,3,1,1.45,12168,1386
92500,3,2,1.0,12028,1056
2100000,2,1,274.0,12125,2600
849000,7,7,1.1,12017,7000
439000,3,2,1.85,12517,1657
279000,6,4,0.77,12029,5082
245000,3,2,0.49,12958,1302
279000,6,5,0.7,12029,5082
299900,4,2,11.22,12029,1931
190000,1,1,0.5,12529,418
245000,3,2,0.49,12017,1302
329000,4,2,6.9,12529,1900
790000,3,2,4.25,12517,1512
625000,2,2,1.5,12017,1834
3500000,4,4,217.0,12017,4000
289000,3,3,2.34,12029,2000
339000,4,5,0.51,12125,3133
625000,4,2,5.2,12517,2029
369900,3,2,0.65,12029,1600
1575000,4,5,18.5,12529,3024
595000,9,6,1.2,12517,5512
598500,3,3,4.0,12516,2240
105000,4,2,22.52,12123,1795
159000,3,1,0.38,12546,1656
120000,2,2,17.5,12094,1431
254900,2,1,0.29,12153,1163
339900,8,6,1.35,12168,2722
1300000,4,4,37.0,12062,4000
910000,3,3,288.92,12057,7834
49900,2,1,0.13,12123,1200
295000,10,5,1.0,12123,5100
698000,3,2,5.03,12075,1735
277000,4,3,0.33,12037,2250
199000,5,2,1.5,12125,2360
159900,3,2,0.23,12090,2400
144900,2,1,1.1,12057,2780
7950000,7,6,134.39,12521,4035
215000,4,3,1.0,12125,2148
1999500,5,5,45.8,12060,6518
495000,4,2,37.5,12503,1767
495000,5,2,45.0,12503,2263
49000,3,1,0.39,12090,1161
270000,2,2,6.69,12169,1000
299000,3,2,1.1,12075,1748
640000,5,4,7.08,12184,1968
899000,3,2,1.9,12018,5254
899000,11,6,1.9,12018,5254
799000,4,2,100.0,12123,2976
450000,2,1,0.38,12060,1200
1300000,5,4,37.0,12062,4000
325000,5,2,10.0,12123,2673
169000,3,1,0.14,12184,2313
265000,3,2,0.53,12125,2250
122750,4,2,0.13,12090,1978
925000,7,4,2.9,12516,3416
650000,4,3,7.94,12082,3088
164900,3,1,1.0,12169,1845
479000,3,3,1.87,12018,4622
378000,5,3,0.82,12125,3075
675000,3,3,2.5,12018,3600
1400000,9,6,1.4,12565,6157
1295000,5,5,5.58,12125,5212
1495000,3,3,24.06,12502,3228
2100000,4,4,1.56,12521,3100
495000,3,2,40.0,12138,4034
189900,4,1,4.79,12061,1607
109000,4,3,0.05,12090,1890
129900,2,2,0.1,12090,1120
312000,4,2,0.45,12075,4520
424000,3,2,48.96,12168,1585
325000,6,3,10.0,12123,3973
495000,3,2,0.21,12529,1167
149900,3,2,0.23,12018,2694
239900,4,2,2.03,12168,3050
245000,3,2,0.39,12123,1400
325000,12,8,1.0,12123,2130
590000,3,3,7.54,12529,2450
450000,9,6,0.5,12060,7022
150000,2,2,0.45,12180,1550
340000,5,3,0.52,12521,2400
205000,3,2,0.36,12018,1592
290000,3,2,0.24,12075,1713
265000,4,2,0.6,12138,1950
299000,3,3,3.0,12546,1768
350000,5,3,1.5,12405,2136
2850000,40,36,1.78,12565,27443
349900,3,3,19.1,12168,2864
280000,5,4,2.0,12184,2000
650000,4,2,14.61,12090,3860
549000,4,3,2.1,12018,5127
229900,2,1,2.39,12513,720
250000,2,2,65.0,12180,1473
350000,3,3,0.15,12546,1802
215000,2,1,0.25,12565,806
749000,4,4,3.0,12075,4179
105000,5,3,1.14,12168,3092
225700,3,2,0.81,12513,2104
325000,4,3,1.24,12075,2464
195000,2,1,1.7,12090,1010
399900,5,2,4.3,12165,2499
349900,3,2,1.25,12196,2000
425000,3,4,0.91,12075,2120
369000,1,1,14.62,12502,880
1200000,5,2,103.0,12075,2657
365000,3,2,1.0,12546,2710
325000,4,3,1.9,12521,1704
189000,2,1,0.21,12018,928
239900,3,2,0.25,12037,1412
548000,3,2,2.9,12062,2780
399000,3,2,3.79,12521,1560
129000,3,1,0.14,12090,2926
160000,2,2,0.22,12546,576
395000,3,2,5.0,12136,2042
514900,4,3,20.81,12090,3900
229500,2,2,2.3,12123,980
225000,2,1,0.06,12184,800
495000,3,2,0.18,12516,1080
143900,8,4,0.11,12090,5342
143900,10,4,0.11,12090,3762
220000,3,2,1.57,12123,1831
350000,3,2,18.7,12184,1102
117900,2,1,0.2,12138,1054
275000,5,3,0.41,12546,1740
589900,3,2,0.33,12018,1271
1395000,4,3,96.38,12513,2899
725000,3,4,5.38,12125,2599
1225000,4,3,22.04,12060,2508
649000,3,2,0.79,12037,1512
1395000,4,3,96.0,12521,2899
398715,3,2,0.25,12018,1602
259000,3,4,4.04,12125,2574
80000,2,1,0.52,12125,700
469900,4,3,2.01,12018,3984
419000,4,3,0.98,12130,2442
265000,4,2,0.69,12516,1800
775000,4,2,13.03,12132,2491
478900,4,3,4.01,12018,2321
895000,9,5,0.19,12565,10000
142000,2,1,1.48,12090,1080
245000,4,2,1.0,12184,1596
220000,2,1,1.4,12546,800
549000,3,2,0.25,12534,1890
264900,3,2,4.25,12018,1080
15000000,8,10,157.0,12136,14058
139900,4,1,0.12,12018,2288
439900,3,2,0.56,12196,3200
899000,6,5,5.0,12018,4100
2550000,5,4,56.1,12075,4960
497500,3,1,17.32,12521,1400
220000,3,2,1.94,12125,2824
189000,3,1,0.59,12062,1360
80000,4,3,1.0,12018,2367
234800,4,1,1.24,12140,1232
279900,3,3,0.37,12018,2073
2400000,4,4,100.94,12125,3648
325000,4,2,0.44,12075,2240
325000,4,2,0.44,12037,2240
995000,3,3,0.09,12521,1320
99900,3,1,0.24,12125,1872
179000,2,2,0.17,12052,1469
219000,3,2,8.58,12037,1352
199000,3,2,0.24,12090,1800
199000,3,2,0.99,12090,2056
449900,3,2,8.96,12140,2777
450000,4,3,6.1,12168,2350
549000,3,3,3.4,12037,2669
700000,4,2,99.0,12123,2368
629000,3,3,1.5,12184,2126
625000,4,2,5.2,12516,2029
3650000,7,4,101.0,12136,5188
1800000,2,1,358.0,12521,1675
149900,3,1,0.36,12123,1218
215000,2,1,2.67,12090,1216
389000,3,3,0.37,12184,1880
399950,4,2,0.79,12037,1410
1675000,4,4,54.8,12503,2400
265000,5,3,0.28,12090,2619
274900,6,2,1.06,12168,2966
350000,3,3,1.22,12063,2400
89900,3,2,0.08,12090,2099
1695000,5,5,5.5,12516,3380
1695000,5,5,5.5,12516,3380
712000,3,2,4.02,12075,1762
712000,3,2,4.02,12075,1762
1200000,3,1,75.0,12546,1600
354900,3,3,5.06,12062,2224
289900,4,3,0.29,12090,1920
185000,2,1,1.16,12123,1556
279900,3,2,1.13,12061,1984
219999,2,1,0.17,12037,1030
1150000,4,4,18.9,12513,4230
750000,3,3,4.9,12516,1708
1200000,4,4,30.0,12037,3344
675000,4,1,209.0,12062,1928
345000,3,2,0.32,12037,1126
100000,3,2,3.49,12018,1518
349900,3,2,0.61,12018,1680
350000,2,2,2.54,12089,1582
875000,4,5,9.17,12018,2800
1100000,4,5,9.17,12018,3773
549900,3,2,2.02,12018,1787
1795000,7,5,9.7,12528,4212
1850000,7,5,95.23,12125,5250
1795000,7,5,9.7,12521,4212
169500,3,2,1.7,12062,1160
164900,3,2,0.77,12090,1456
795000,2,2,67.17,12123,1800
64900,3,1,3.5,12018,1226
349900,3,2,3.9,12029,2100
410000,3,3,2.16,12018,2159
325000,3,2,7.78,12136,1321
549000,6,3,6.0,12060,3200
475000,3,2,0.64,12516,1092
320000,9,8,0.24,12123,5700
179900,2,1,0.35,12546,936
299900,3,2,0.07,12565,2024
339900,4,2,0.6,12090,4062
105000,3,1,0.34,12565,1480
125000,4,2,0.33,12018,1448
179900,2,1,0.18,12196,1000
230000,2,1,0.46,12196,1040
499000,4,6,0.69,12516,3182
349900,3,2,1.2,12196,1104
299000,2,1,126.74,12138,862
3495000,5,5,33.68,12037,6500
995000,2,1,0.69,12136,5356
450000,3,2,0.26,12516,1500
436900,4,3,1.78,12196,1950
99900,3,1,0.24,12125,3048
465000,4,3,12.12,12125,4588
215000,3,2,0.39,12125,976
269900,3,1,0.86,12534,1047
288000,3,3,0.25,12018,1716
225000,4,2,7.5,12125,1804
225000,5,2,7.5,12125,1804
249900,3,2,4.81,12022,1478
149900,3,2,2.63,12094,1334
199000,4,1,0.61,12090,1695
219900,2,1,1.01,12168,960
798900,4,3,5.0,12184,3200
499000,3,3,5.1,12060,1800
599000,5,2,16.06,12136,2639
39900,3,1,6680.0,12090,1300
599000,5,2,16.06,12037,2639
1300000,5,4,8.95,12136,4278
365000,3,1,0.14,12516,1008
285000,2,2,2.01,12140,2308
230000,3,2,0.35,12052,1216
185000,3,1,1.0,12018,1350
429900,3,3,0.22,12018,1965
419900,3,2,0.25,12018,1602
139700,3,1,0.51,12140,1307
159900,3,2,0.17,12033,2548
359000,3,2,0.7,12057,2075
175000,2,1,0.54,12123,996
500000,4,3,7.58,12037,2270
419000,3,2,2.7,12184,1900
669900,4,4,0.87,12018,3586
399900,4,3,0.22,12018,2001
259000,7,3,1.11,12125,3922
289900,4,3,14.0,12062,1808
425000,4,2,0.6,12136,2700
450000,4,3,12.53,12168,2400
349900,3,2,1.0,12037,2160
349900,3,2,1.0,12037,2160
153000,2,3,0.06,12123,2085
236000,4,2,0.99,12062,1767
150000,3,1,0.34,12123,832
425000,4,3,1.53,12018,3136
375000,2,2,11.28,12123,1858
649900,4,3,8.61,12060,2891
585000,4,4,10.0,12153,2104
785000,4,3,12.0,12037,3667
1200000,3,4,8.64,12136,2600
1550000,6,8,56.62,12523,5170
449900,3,3,1.14,12592,2516
394000,3,2,0.57,12545,1440
372000,3,2,0.87,12501,1596
395000,3,2,2.9,12522,2265
7495000,4,5,172.71,12592,4551
595000,3,2,10.9,12514,1630
14000000,10,17,200.0,12545,34000
389000,6,3,0.86,12513,3280
8250000,4,6,55.4,12571,8430
2995000,5,3,452.0,12592,2400
2500000,2,4,178.85,12571,28000
2500000,2,4,178.85,12571,28000
153100,4,1,1.2,12594,2328
2495000,5,4,88.6,12571,5517
14500000,5,7,130.86,12545,6054
977777,5,5,18.92,12545,7400
699000,4,5,5.0,12514,3755
2650000,4,6,30.93,12545,8500
977777,5,5,18.92,12545,7400
2200000,21,14,31.98,12545,25106
685000,3,5,6.2,12594,3606
